date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:43	270/270	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20May%202026%2020:44:42%20GMT	https://www.troa.fr/robots.txt		(from )
17:44:43	69711/69711	---M-Z	200	added ('OK')	text/html	etag:%221104f-65278b9fd9235-gzip%22	https://www.troa.fr/	/home/solucoes/Downloads/Gui226/www.troa.fr/index.html	(from )
17:44:44	1878/1878	---M-Z	200	added ('OK')	image/png	etag:%22756-64d2497bc332a-gzip%22	https://www.troa.fr/assets/favicon/apple-touch-icon.png	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/favicon/apple-touch-icon.png	(from https://www.troa.fr/)
17:44:44	1144/1144	---M-Z	200	added ('OK')	image/png	etag:%22478-64d2497bc332a-gzip%22	https://www.troa.fr/assets/favicon/favicon-32x32.png	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/favicon/favicon-32x32.png	(from https://www.troa.fr/)
17:44:45	791/791	---M-Z	200	added ('OK')	image/png	etag:%22317-64d2497bc332a-gzip%22	https://www.troa.fr/assets/favicon/favicon-16x16.png	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/favicon/favicon-16x16.png	(from https://www.troa.fr/)
17:44:47	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-64d2497bc332a%22	https://www.troa.fr/assets/favicon/favicon.ico	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/favicon/favicon.ico	(from https://www.troa.fr/)
17:44:47	464/464	---M--	200	added ('OK')	application/manifest+json	etag:%221d0-64d2497bc42ca%22	https://www.troa.fr/assets/favicon/site.webmanifest	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/favicon/site.webmanifest	(from https://www.troa.fr/)
17:44:48	3866/3866	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f1a-64d2497bc42ca-gzip%22	https://www.troa.fr/assets/favicon/safari-pinned-tab.svg	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/favicon/safari-pinned-tab.svg	(from https://www.troa.fr/)
17:44:50	11376/11376	---M--	200	added ('OK')	font/woff2	etag:%222c70-64d2497bd8ae9%22	https://www.troa.fr/assets/fonts/tr3a/regular/tr3a-Regular.woff2	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/fonts/tr3a/regular/tr3a-Regular.woff2	(from https://www.troa.fr/)
17:44:51	12108/12108	---M--	200	added ('OK')	font/woff2	etag:%222f4c-64d2497bd8ae9%22	https://www.troa.fr/assets/fonts/tr3a/medium/tr3a-Medium.woff2	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/fonts/tr3a/medium/tr3a-Medium.woff2	(from https://www.troa.fr/)
17:44:52	212160/212160	---MCZ	200	added ('OK')	image/jpeg	etag:%2233cc0-62b60fcb23b1d-gzip%22	https://www.troa.fr/media/site/2503844675-1727275782/troa_home_bs_519a1601.jpg	/home/solucoes/Downloads/Gui226/www.troa.fr/media/site/2503844675-1727275782/troa_home_bs_519a1601.jpg	(from https://www.troa.fr/)
17:44:53	16112/16112	---M--	200	added ('OK')	font/woff	etag:%223ef0-64d2497bd7b49%22	https://www.troa.fr/assets/fonts/tr3a/medium/tr3a-Medium.woff	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/fonts/tr3a/medium/tr3a-Medium.woff	(from https://www.troa.fr/)
17:44:54	28708/28708	---M--	200	added ('OK')	font/ttf	etag:%227024-64d2497bc526a%22	https://www.troa.fr/assets/fonts/tr3a/medium/tr3a-Medium.ttf	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/fonts/tr3a/medium/tr3a-Medium.ttf	(from https://www.troa.fr/)
17:44:55	15440/15440	---M--	200	added ('OK')	font/woff	etag:%223c50-64d2497bd8ae9%22	https://www.troa.fr/assets/fonts/tr3a/regular/tr3a-Regular.woff	/home/solucoes/Downloads/Gui226/www.troa.fr/assets/fonts/tr3a/regular/tr3a-Regular.woff	(from https://www.troa.fr/)
